customer_id,country,warehouse_hub,age_group,gender,style_category,acquisition_channel,cohort_month,loyalty_tier,recency_days,frequency_30d,frequency_90d,monetary_3m_usd,avg_order_value_usd,basket_size_items,browsing_sessions_30d,wishlist_items,discount_dependency_pct,promo_depth_pct,promo_response_rate,returns_rate,mega_sale_participant,avg_delivery_days,delivery_issues_count,last_mile_cost_usd,fulfillment_cost_usd,return_cost_usd,logistics_cost_pct_revenue,gross_margin_pct,campaign_last_sent,responded_to_campaign,incremental_orders_from_campaign,campaign_roi,uplift_segment,churn_label,churn_risk_score,clv_12m_usd
SH01001,Thailand,VN Hub,28-32,Female,Casual,Organic,2024-02,Bronze,123,2,6,191.68,38.96,5,15,5,0.6,0.23,0.44,0.29,0,4.6,0,2.96,4.1,4.52,0.297,0.201,Style Drop,1,3,5.0,Lost Cause,1,72.8,368.57
SH01002,Indonesia,SG Hub,33-38,Male,Activewear,Influencer,2024-01,Bronze,20,3,6,91.92,20.9,3,16,5,0.89,0.36,0.36,0.28,1,4.9,0,3.01,1.0,2.34,0.304,0.024,Voucher,1,2,3.27,Sure-Thing,0,27.6,254.01
SH01003,UAE,Dubai Hub,23-27,Male,Formal,Mega-Sale Event,2024-08,Bronze,16,2,3,207.14,77.93,6,13,8,0.38,0.19,0.56,0.19,0,3.8,0,4.18,6.43,5.92,0.212,0.216,Voucher,1,3,5.0,Persuadable,0,27.2,599.24
SH01004,Malaysia,SG Hub,18-22,Female,Activewear,Paid Social,2024-05,None,30,0,2,69.48,41.31,4,12,1,0.53,0.22,0.41,0.19,0,4.8,0,3.15,2.81,3.14,0.22,0.198,Voucher,0,0,-1.0,Lost Cause,0,43.9,170.33
SH01005,Singapore,SG Hub,18-22,Non-binary,Accessories,Influencer,2024-10,None,28,1,3,137.07,53.19,3,15,4,0.47,0.25,0.45,0.28,0,1.8,1,3.69,4.71,5.96,0.27,0.153,Influencer Code,1,0,-1.0,Lost Cause,0,44.0,342.99
SH01006,Philippines,SG Hub,18-22,Male,Activewear,Influencer,2024-04,None,26,0,1,14.79,20.09,1,11,4,0.88,0.49,0.34,0.34,0,6.0,0,4.56,1.76,2.73,0.45,-0.102,Voucher,1,0,-1.0,Do-Not-Disturb,1,61.2,13.16
SH01007,Thailand,VN Hub,18-22,Female,Formal,Organic,2024-05,Bronze,63,1,5,115.3,29.08,2,11,3,0.69,0.43,0.5,0.29,0,6.2,2,3.95,2.52,3.37,0.338,-0.015,Influencer Code,0,0,-1.0,Do-Not-Disturb,1,64.8,229.46
SH01008,Thailand,VN Hub,28-32,Male,K-Fashion,Influencer,2024-03,None,38,0,0,0.0,42.74,2,8,4,0.66,0.31,0.39,0.33,1,5.1,0,2.81,2.95,5.64,0.267,0.107,None,0,0,-1.0,Do-Not-Disturb,1,66.8,10.0
SH01009,Singapore,SG Hub,18-22,Female,Activewear,Paid Social,2024-04,None,104,1,2,106.61,59.16,6,17,7,0.33,0.2,0.55,0.24,1,2.6,1,3.43,4.35,5.68,0.228,0.192,Voucher,1,1,4.62,Lost Cause,1,81.7,182.13
SH01010,Indonesia,SG Hub,23-27,Non-binary,Streetwear,Referral,2024-09,None,36,1,4,30.04,10.0,2,18,2,0.83,0.46,0.44,0.35,1,5.2,1,2.78,1.26,1.4,0.544,-0.15,Influencer Code,0,0,-1.0,Lost Cause,1,54.4,52.43
SH01011,Vietnam,VN Hub,28-32,Female,Casual,Influencer,2024-06,Bronze,48,2,5,123.19,32.04,4,19,7,0.77,0.44,0.4,0.22,0,4.5,1,3.92,3.45,2.82,0.318,0.017,Voucher,0,0,-1.0,Lost Cause,1,50.4,283.14
SH01012,Philippines,SG Hub,23-27,Female,Casual,Influencer,2024-08,None,39,0,1,12.67,16.41,3,11,6,0.76,0.39,0.34,0.26,1,6.9,2,4.35,1.55,1.71,0.464,-0.143,Voucher,1,0,-1.0,Do-Not-Disturb,1,75.7,10.0
SH01013,Malaysia,SG Hub,18-22,Female,Accessories,Referral,2024-01,Bronze,59,1,5,145.95,35.34,5,17,6,0.58,0.39,0.39,0.19,0,4.9,1,3.34,2.38,2.69,0.238,0.096,Style Drop,0,0,-1.0,Lost Cause,1,50.2,341.28
SH01014,UAE,Dubai Hub,28-32,Male,Accessories,Paid Social,2024-07,Bronze,21,2,5,369.7,84.31,2,22,3,0.41,0.22,0.54,0.24,0,4.3,1,3.83,6.91,8.09,0.223,0.168,Free Shipping,1,1,4.59,Persuadable,0,26.9,850.0
SH01015,Indonesia,SG Hub,28-32,Female,Streetwear,Influencer,2024-06,None,93,1,3,51.3,21.81,2,15,8,0.72,0.48,0.36,0.29,1,4.9,0,3.5,2.96,2.53,0.412,-0.068,None,0,0,-1.0,Do-Not-Disturb,1,77.1,77.31
SH01016,Australia,AU Hub,28-32,Female,Activewear,Mega-Sale Event,2024-11,Bronze,161,2,3,224.88,84.32,8,13,9,0.37,0.16,0.53,0.12,0,6.2,2,7.45,6.8,4.05,0.217,0.252,Influencer Code,0,0,-1.0,Lost Cause,1,94.1,336.34
SH01017,Indonesia,SG Hub,18-22,Female,Activewear,Mega-Sale Event,2024-06,None,19,1,5,44.61,11.74,4,13,4,0.8,0.48,0.41,0.29,1,4.9,0,3.37,1.67,1.36,0.545,-0.15,Voucher,0,0,-1.0,Lost Cause,0,30.2,108.6
